time (epoch),Bx (uT),By (uT),Bz (uT),dBx (uT),dBy (uT),dBz (uT),pos (cm)
1761346020.2523804,-3.8508999999999993,11.515999999999998,36.506699999999995,0.865,0.822,0.655,51
1761346029.4434223,-4.0639,12.462999999999997,38.2697,0.842,0.611,0.47100000000000003,50
1761346035.1858594,-4.2749000000000015,13.291999999999998,39.456700000000005,0.841,1.012,0.801,49
1761346041.969808,-4.539900000000001,14.492999999999999,39.973699999999994,0.8599999999999999,0.7679999999999999,0.721,48
1761346049.0203147,-4.720900000000001,15.544999999999998,41.209700000000005,0.891,0.747,0.846,47
1761346056.261755,-4.7338999999999976,16.965,41.7337,0.8939999999999999,0.939,0.46399999999999997,46
1761346063.4669428,-4.954899999999998,17.65,41.87670000000001,0.9089999999999999,0.629,0.542,45
1761346075.6764164,-5.297899999999998,18.913999999999998,42.227700000000006,0.849,0.777,0.771,44
1761346082.2011635,-5.551900000000001,19.938999999999997,42.5577,0.765,1.0290000000000001,0.8340000000000001,43
1761346089.4172566,-5.259899999999997,21.442999999999998,42.664699999999996,0.862,0.847,0.8260000000000001,42
1761346094.853858,-5.213899999999998,22.384999999999998,42.7657,0.876,0.832,0.806,41
1761346102.3596718,-5.381899999999997,23.708,42.7637,0.822,0.903,0.8069999999999999,40
1761346108.6305342,-5.4949,24.311999999999998,42.73870000000001,0.7879999999999999,0.513,0.813,39
1761346114.560405,-5.732900000000001,25.532,42.75370000000001,0.7240000000000001,0.7130000000000001,0.8089999999999999,38
1761346120.758031,-6.0809,26.711999999999996,42.5677,0.782,0.987,0.8340000000000001,37
1761346126.969211,-6.5859000000000005,28.215,42.4627,0.8450000000000001,0.862,0.829,36
1761346132.7315018,-6.954900000000002,29.255999999999997,42.234700000000004,0.7330000000000001,0.787,0.774,35
1761346166.8417585,-7.943900000000001,30.575000000000003,42.0507,0.8260000000000001,0.7000000000000001,0.6779999999999999,34
1761346173.7372365,-8.202900000000001,31.537999999999997,41.7877,0.895,0.8119999999999999,0.481,33
1761346179.7994192,-8.2249,32.68599999999999,41.709700000000005,0.897,0.81,0.45699999999999996,32
1761346186.643553,-8.478900000000003,34.449,41.575700000000005,0.872,0.721,0.545,31
1761346192.7570157,-8.922900000000002,35.629,41.292699999999996,0.5630000000000001,0.622,0.791,30
1761346198.9672112,-9.272900000000002,36.067,40.932700000000004,0.5720000000000001,0.8400000000000001,0.968,29
1761346205.8085055,-9.590900000000001,37.38499999999999,40.2897,0.79,0.598,0.9229999999999999,28
1761346216.0075984,-10.015900000000002,38.653999999999996,39.9307,0.858,0.817,0.6930000000000001,27
1761346224.4204192,-9.021900000000002,39.459,39.7857,0.424,0.888,0.656,26
1761346231.061294,-8.108900000000004,41.647,39.5287,0.8799999999999999,0.872,0.777,25
1761346239.9599476,-7.897900000000002,42.702,39.0347,0.804,0.8160000000000001,0.813,24
1761346246.921602,-8.091900000000003,44.087999999999994,38.5737,0.875,0.634,0.542,23
1761346254.091756,-8.4229,45.550999999999995,38.354699999999994,0.8840000000000001,0.684,0.387,22
1761346260.8419251,-8.1559,46.278999999999996,38.118700000000004,0.888,0.949,0.6419999999999999,21
1761346267.7828882,-7.420900000000003,47.596,37.5687,0.292,0.398,0.963,20
1761346274.5887356,-7.266900000000003,48.815999999999995,36.9467,0.44200000000000006,0.742,0.903,19
1761346281.0988932,-7.3369,50.242000000000004,36.490700000000004,0.322,0.917,0.6579999999999999,18
1761346287.4000554,-7.274900000000002,51.346,36.2527,0.431,0.754,0.752,17
1761346294.3696077,-7.411900000000003,52.75399999999999,35.8997,0.275,0.96,0.8340000000000001,16
1761346302.6906345,-7.323900000000004,54.222,35.2657,0.353,0.33599999999999997,0.605,15
1761346309.8116355,-7.440900000000001,55.135,34.9517,0.32399999999999995,0.8340000000000001,0.513,14
1761346317.120381,-7.4259,56.458,34.3827,0.295,1.001,0.927,13
1761346323.6198127,-7.483900000000004,57.527,33.4477,0.403,0.536,0.8150000000000001,12
1761346329.4150815,-7.6609,58.757000000000005,33.0997,0.633,0.888,0.6519999999999999,11
1761346335.1136155,-7.667900000000001,60.079,32.6847,0.64,0.9610000000000001,0.823,10
1761346341.1544037,-7.522900000000002,60.87,32.0277,0.46399999999999997,0.41500000000000004,0.654,9
1761346347.2611952,-7.388900000000003,62.04,31.706699999999998,0.262,0.813,0.39899999999999997,8
1761346353.0908492,-7.385900000000001,63.498999999999995,30.9587,0.269,0.915,0.959,7
1761346359.3516586,-7.4069,64.208,29.9657,0.279,0.429,0.6819999999999999,6
1761346366.382848,-7.4589,65.36500000000001,29.6997,0.35700000000000004,0.8079999999999999,0.6859999999999999,5
1761346373.2123356,-7.512900000000002,66.5,29.064700000000002,0.44999999999999996,1.022,0.8260000000000001,4
1761346379.5030522,-9.0959,67.586,28.3647,0.356,0.35200000000000004,0.529,3
1761346386.1020348,-10.7719,68.5,27.5417,0.584,0.829,0.997,2
1761346391.8223062,-10.944900000000002,69.448,26.760699999999996,0.635,0.949,0.791,1
1761346398.639041,-9.501900000000001,70.82,26.4007,0.746,0.47100000000000003,0.6679999999999999,0
